"FRAS_ref","Description","Type","Controller","OTU_OMU","BUS_GATE","Easting","Northing","Type_Of_Control","SCOOT_REGION","SCOOT_STATUS","SCOOT_COMMISSION_DATE","SCOOT_ANTICIP_DATE","SCOOT_PROGRESS","Authority","HWAYS_AGENCY_AREA","HA_AGENCY_MAINTAINED","Longitude","Latitude","Final_Longitude","Final_Latitude","_COL7","NIS_node","_Object","COMMENTS","Crossing_Facility"
"1","Albion St/Whitworth St West","Signal","ST900","Gemini UTMC","NO",383626,397526,"UTC_FT","","COMPLETED",,"","ON-GOING","Manchester","","",-2.248157,53.474223,"","",1,0,"Point","",""
"2","Albion St/Great Bridgewater St/Lower Mosley St","Signal","ST800","Gemini UTMC","NO",383677,397629,"UTC_FT","","",,"","","Manchester","","",-2.247394,53.47515,"","",1,0,"Point","",""
"3","Albert Sq/John Dalton St/Cross St","Signal","ST800","Gemini UTMC","NO",383826,398186,"UTC_FT","","",,"","","Manchester","","",-2.245177,53.480161,"","",1,0,"Point","",""
"4","Fairfield St/Travis St/Nield St","Signal","ST800","Gemini UTMC","NO",384988,397736,"UTC_FT","","",,"","","Manchester","","",-2.227647,53.476151,"","",1,0,"Point","",""
"5","Princess Rd/Greenheys Ln","Signal","ST800","Gemini UTMC","NO",383832,396222,"SCOOT","CP","COMPLETED",20100125,"","","Manchester","","",-2.244988,53.462507,"","",1,1,"Point","",""
"7","Ashton New Rd/Alan Turing Way","Signal","ST900","Gemini UTMC","NO",387149,398337,"SCOOT","CX","COMPLETED",20110510,"","","Manchester","","",-2.195113,53.48161,"","",1,1,"Point","",""
"8","Ashton Old Rd/Fairfield Rd/Ogden Ln","Signal","ST900","Gemini UTMC","NO",389242,397359,"UTC_FT","","COMPLETED",,"","","Manchester","","",-2.163541,53.472867,"","",1,0,"Point","",""
"10","Ashton Old Rd/Pottery Ln/Alan Turning Way","Signal","ST800","Gemini UTMC","NO",387196,397504,"SCOOT","CX","COMPLETED",20110622,"","","Manchester","","",-2.194371,53.474124,"","",0,1,"Point","",""
"11","Ashton Old Rd/Chancellor Ln/Fairfiled St/Pinmill Brow","Signal","ST800","Unspecified","NO",385710,397643,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","","",-2.216765,53.475335,"","",0,1,"Point","",""
"12","Ashton Old Rd/Midland St","Signal","ST800","Gemini UTMC","NO",385879,397625,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","","",-2.214218,53.475178,"","",1,1,"Point","",""
"16","Miller St/Dantzic St","Signal","ST800","TC12","NO",384266,398973,"SCOOT","FT","COMPLETED",20080310,"","","Manchester","","",-2.238593,53.487243,"","",0,1,"Point","",""
"17","Bury Old Rd/Leicester Rd/Middleton Rd","Signal","ST800","Gemini UTMC","NO",383560,402140,"UTC_FT","C2","PLANNED",,"Developer schemes","","Salford","MANCHESTER","",-2.249394,53.515692,"","",1,0,"Point","",""
"18","Brook St/Grosvenor St/Upper Brook St","Signal","ST900","Gemini UTMC","NO",384548,397181,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting in","Manchester","","",-2.234249,53.47115,"","",1,0,"Point","","TOUCAN"
"20","Hulme Hall Ln/Briscoe Ln","Signal","ST900","Gemini UTMC","NO",386745,399250,"SCOOT","CX","COMPLETED",20100801,"","","Manchester","","",-2.201239,53.489807,"","",0,1,"Point","",""
"21","Hulme Hall Ln/Bradford Rd","Signal","ST900","Gemini UTMC","NO",386620,399334,"SCOOT","CX","COMPLETED",20100801,"Winter 2008","Ducting complete - Cabling in future when all done","Manchester","","",-2.203127,53.490558,"","",0,1,"Point","",""
"23","Chapman St/Cross Ln/Garratt Way","Signal","ST900","Gemini UTMC","NO",388867,396296,"UTC_FT","","",,"","","Manchester","","",-2.169153,53.463305,"","",0,0,"Point","",""
"24","Cheetham Hill Rd/Elizabeth St/North St","Signal","ST800","Gemini UTMC","NO",384349,400115,"SCOOT","CF","COMPLETED",20091215,"","COMPLETE","Manchester","","",-2.237393,53.497515,"","",0,1,"Point","",""
"25","Cheetham Hill Rd/Queens Rd/Elizabeth Rd","Signal","ST800","Gemini UTMC","NO",384432,400405,"SCOOT","C1","COMPLETED",20091215,"","COMPLETE","Manchester","","",-2.236157,53.500124,"","",0,1,"Point","",""
"26","High St/Church St/METROLINK","Signal","ST800","Gemini UTMC","NO",384238,398528,"UTC_FT","","",,"","","Manchester","","",-2.238987,53.483247,"","",0,0,"Point","",""
"27","Cheetham Hill Rd/Waterloo Rd/Greenhill Rd /Halliwell Ln","Signal","ST800","Gemini UTMC","NO",384049,401321,"UTC_FT","C2","PLANNED",,"Developer schemes","","Manchester","","",-2.241977,53.508346,"","",0,0,"Point","",""
"28","Deansgate/St Ann St","Signal","ST800","Unspecified","NO",383694,398394,"UTC_FT","","",,"","","Manchester","","",-2.247177,53.482026,"","",1,0,"Point","",""
"29","Chorlton Rd/Royce Rd/City Rd","Signal","ST900","Gemini UTMC","NO",382995,396806,"UTC_FT","","",,"","","Manchester","","",-2.257624,53.467731,"","",1,0,"Point","",""
"3/154","Moss Ln West/Chorlton Rd /Upper Chorlton Rd/Withington Rd","Signal","ST800","Gemini MOVA PSTN","NO",382953,395817,"MOVA","","",,"","","Manchester","","",-2.258203,53.45884,"","",1,0,"Point","",""
"32","Corporation St/Miller St/Cheetham Hill Rd","Signal","ST900 ELV","Gemini UTMC","NO",384169,399035,"SCOOT","FT","COMPLETED",20061101,"","","Manchester","","",-2.240052,53.487802,"","",0,1,"Point","",""
"33","Corporation St/Withy Grove/Fennel St","Signal","ST950ELV in","Integral OTU","NO",384028,398730,"SCOOT","","",,"","","Manchester","","",-2.242162,53.485055,"","",0,0,"Point","",""
"34","Cross St/King St","Signal","400","Gemini UTMC","NO",383852,398289,"UTC_FT","","",,"","","Manchester","","",-2.244791,53.481088,"","",0,0,"Point","",""
"35","Deansgate/John Dalton St/Bridge St","Signal","ST900","Gemini UTMC","NO",383640,398263,"UTC_FT","","",,"","","Manchester","","",-2.247984,53.480847,"","",0,0,"Point","",""
"36","Deansgate/King St West/King St","Signal","ST900","Gemini UTMC","NO",383666,398326,"UTC_FT","","",,"","","Manchester","","",-2.247596,53.481414,"","",0,0,"Point","",""
"37","Deansgate/Quay St/Peter St","Signal","ST900","Gemini UTMC","NO",383533,397979,"UTC_FT","","",,"","","Manchester","","",-2.249581,53.478291,"","",0,0,"Point","",""
"38","Deansgate/St Marys Gate/Victoria St","Signal","ST800","Gemini UTMC","NO",383753,398557,"UTC_FT","","",,"","","Manchester","","",-2.246296,53.483495,"","",0,0,"Point","",""
"39","Deansgate/Liverpool Rd","Signal","ST800","Gemini UTMC","NO",383435,397696,"UTC_FT","","",,"","","Manchester","","",-2.251043,53.475745,"","",0,0,"Point","",""
"40","Deansgate/Victoria Bridge St/Cateaton St","Signal","ST900 ELV","Gemini UTMC","NO",383811,398683,"UTC_FT","","",,"","","Manchester","","",-2.245429,53.484628,"","",0,0,"Point","",""
"41","Birchfields Rd/Dickenson Rd/Anson Rd","Signal","ST800","Gemini UTMC","NO",386055,395254,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting being installed","Manchester","","",-2.21146,53.453871,"","",0,0,"Point","",""
"42","Mancunian Way/Downing St","Signal","ST800","Gemini UTMC","NO",384839,397485,"UTC_FT","","",,"","","Manchester","0","",-2.22988,53.473891,"","",0,0,"Point","",""
"43","Dale St/Lever St","Signal","ST800","Unspecified","NO",384528,398387,"UTC_FT","","",,"","","Manchester","0","",-2.23461,53.481989,"","",0,0,"Point","",""
"44","Dale St/Newton St","Signal","ST800","Gemini UTMC","NO",384595,398326,"UTC_FT","","",,"","","Manchester","0","",-2.233597,53.481442,"","",0,0,"Point","",""
"45","Great Ancoats St/Old Mill St/Store St","Signal","ST800","Gemini UTMC","NO",385189,398249,"SCOOT","IC","COMPLETED",20070301,"","","Manchester","0","",-2.224643,53.480767,"","",0,1,"Point","",""
"46","Oldham Rd/Great Ancoats St/Oldham St","Signal","ST800","Gemini UTMC","NO",384645,398697,"SCOOT","IC","COMPLETED",20080227,"","","Manchester","0","",-2.232862,53.484778,"","",0,1,"Point","","TOUCAN"
"47","Great Ducie St/Trinity Way/New Bridge St/Victoria St","Signal","ST800","Gemini UTMC","NO",383794,399107,"SCOOT","FT","COMPLETED",20061101,"","","Manchester","0","",-2.245707,53.488438,"","",0,1,"Point","",""
"48","Booth St West/Higher Cambridge St","Signal","ST900 ELV","Gemini UTMC","NO",384228,396758,"FT_UTC","","",,"","","Manchester","0","",-2.239048,53.467338,"","",0,0,"Point","",""
"49","Hyde Rd/Devonshire St/Devonshire St North","Signal","ST800","Gemini UTMC","NO",385777,396921,"UTC_FT","","",,"","","Manchester","0","",-2.215723,53.468847,"","",0,0,"Point","",""
"50","Hyde Rd/Mount Rd","Signal","ST800","Gemini UTMC","NO",387978,396241,"SCOOT","CH","COMPLETED",20110301,"","","Manchester","0","",-2.182541,53.46279,"","",1,1,"Point","",""
"51","Hyde Rd/Reddish Ln/Wall Way","Signal","ST900","Gemini UTMC","NO",389458,395696,"UTC_FT","","",,"","","Manchester","0","",-2.160231,53.457924,"","",0,0,"Point","",""
"54","Hyde Rd /East of Tan Yard Brow","Puffin","ST700","Gemini UTMC","NO",389164,395879,"UTC_FT","SCOOT","",,"","","Manchester","0","",-2.164665,53.459563,"","",0,0,"Point","","PEDESTRIAN"
"55","Kingsway/Grangethorpe Dr/Talbot Rd","Signal","ST900","Gemini UTMC","NO",386389,393329,"SCOOT","CA","COMPLETE",20160803,"","","Manchester","0","",-2.206347,53.436577,"","",1,1,"Point","",""
"56","Kingsway/Parrs Wood Ln/Wilmslow Rd","Signal","ST800","Gemini UTMC","NO",385522,390468,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.219265,53.410838,"","",0,1,"Point","",""
"57","Kingsway/Wilmslow Rd","Signal","ST800","Gemini UTMC","NO",385430,390230,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.220639,53.408699,"","",0,1,"Point","",""
"59","Kingsway/Fog Ln/Lane End Rd","Signal","ST900","Gemini UTMC","NO",385921,391581,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.213313,53.420853,"","",0,1,"Point","",""
"60","Kingsway/Green End Rd","Signal","ST800","Gemini UTMC","NO",386125,392300,"SCOOT","CA","COMPLETE",20160803,"","","Manchester","0","",-2.210275,53.427321,"","",0,1,"Point","",""
"61","Kingsway/Mauldeth Rd","Signal","ST900LV","Gemini UTMC","NO",386279,392848,"SCOOT","CA","COMPLETE",20160803,"","","Manchester","0","",-2.207981,53.432251,"","",0,1,"Point","",""
"62","Kingsway/Queensway/School Ln","Signal","ST900","Gemini UTMC","NO",385698,390936,"SCOOT","C4","COMPLETE",20160726,"","","Manchester","0","",-2.216639,53.415049,"","",1,1,"Point","",""
"63","Kirkmanshulme Ln/Mount Rd","Signal","ST800","Gemini UTMC","NO",387995,396179,"SCOOT","CH","COMPLETED",20110301,"","","Manchester","0","",-2.18229,53.462234,"","",1,1,"Point","",""
"64","Kingsway /South of Moseley Rd Roundabout","Double Pelican","ST750","Gemini UTMC","NO",386520,393819,"SCOOT","CA","COMPLETE",20160803,"","","Manchester","0","",-2.204396,53.440985,"","",0,1,"Point","","PEDESTRIAN"
"66","Moss Ln East/Upper Lloyd St","Signal","ST900 ELV L","Gemini UTMC","NO",384448,395722,"UTC_FT","C3","PLANNED",,"Major scheme bid 2009/10","","Manchester","0","",-2.235683,53.458033,"","",0,0,"Point","",""
"67","London Rd/Fairfield St","Signal","ST800","Gemini UTMC","NO",384743,397773,"UTC_FT","","",,"","","Manchester","0","",-2.23134,53.476476,"","",0,0,"Point","",""
"69","Market St/High St/Fountain St/METROLINK","Signal","ST900","Gemini UTMC","NO",384203,398405,"UTC_FT","","",,"","","Manchester","0","",-2.239508,53.482141,"","",0,0,"Point","",""
"71","Market St/Cross St/St Marys Gate","Signal","TSC3","Gemini UTMC","NO",383929,398504,"UTC_FT","","",,"","","Manchester","0","",-2.243642,53.483022,"","",0,0,"Point","",""
"72","Middleton Rd/Blackley New Rd/Meade Hill Rd","Signal","ST800","Gemini UTMC","NO",383656,403264,"SCOOT","CB","COMPLETED",20110728,"","","Manchester","0","",-2.248005,53.525798,"","",0,1,"Point","",""
"74","Mosley St/York St/New York St/Metrolink","Signal","ST900","Gemini UTMC","NO",384186,398210,"UTC_FT","","",,"","","Manchester","0","",-2.239754,53.480388,"","",0,0,"Point","",""
"3/153","Moss Ln West/Alexandra Rd","Signal","ST800","Gemini MOVA PSTN","NO",383345,395961,"MOVA","","",,"","","Manchester","0","",-2.252307,53.460147,"","",0,0,"Point","",""
"76","Oldham Rd/Hulme Hall Ln/Queens rd","Signal","ST800","Gemini UTMC","NO",386135,399926,"SCOOT","CX","COMPLETED",20110203,"","","Manchester","0","",-2.210463,53.495867,"","",0,1,"Point","",""
"77","Oldham Rd/Addington St","Signal","ST800","Gemini UTMC","YES",384705,398768,"SCOOT","IC","COMPLETED",20080227,"","","Manchester","0","",-2.231961,53.485418,"","",0,1,"Point","",""
"78","Oldham Rd/Livesey St/Butler St","Signal","ST800","Gemini UTMC","NO",385247,399090,"UTC_FT","","",,"","","Manchester","0","",-2.223809,53.488328,"","",0,0,"Point","",""
"79","Oldham Rd/Collyhurst St/Varley St","Signal","ST800","Gemini UTMC","NO",385778,399731,"SCOOT","CX","COMPLETED",20110203,"","","Manchester","0","",-2.215835,53.494104,"","",1,1,"Point","",""
"80","Oldham Rd/Dean Ln/Old Church St","Signal","ST900 ELV","Gemini UTMC","NO",387887,400670,"SCOOT","CO","COMPLETE",20150219,"","","Manchester","0","",-2.184083,53.502598,"","",0,1,"Point","",""
"81","Oldham Rd/Droylsden Rd","Signal","ST900","Gemini UTMC","NO",388157,400726,"SCOOT","CO","COMPLETE",20150219,"","","Manchester","0","",-2.180015,53.503107,"","",0,1,"Point","",""
"82","Oldham Rd/Sherratt St/Thompson St","Signal","ST800","Gemini UTMC","NO",384850,398842,"SCOOT","IC","COMPLETED",20080227,"","","Manchester","0","",-2.22978,53.486088,"","",0,1,"Point","",""
"83","Oldham Rd/Thorp Rd/Lowcross Rd","Signal","ST800","Gemini UTMC","NO",387293,400556,"SCOOT","CO","COMPLETE",20160323,"","","Manchester","0","",-2.193034,53.501559,"","",0,1,"Point","",""
"84","Oldham St/Church St","Signal","ST800","Gemini UTMC","NO",384456,398445,"UTC_FT","","",,"","","Manchester","0","",-2.235698,53.482508,"","",0,0,"Point","",""
"85","Oldham St/Hilton St","Signal","ST800","Gemini UTMC","NO",384510,398515,"UTC_FT","","",,"","","Manchester","0","",-2.234882,53.483138,"","",0,0,"Point","",""
"86","Oxford Rd/Booth St West","Signal","400","Gemini UTMC","NO",384459,396885,"UTC_FT","","",,"","","Manchester","0","",-2.235575,53.468486,"","",0,0,"Point","",""
"87","Oxford Rd/Charles St/Hulme St/Oxford St","Signal","TRX","Gemini UTMC","NO",384176,397418,"UTC_FT","","",,"","","Manchester","0","",-2.239865,53.473269,"","",0,0,"Point","",""
"88","Oxford Rd/Grosvenor St","Signal","ST750 ELV","Gemini UTMC","NO",384359,397073,"UTC_FT","","",,"","","Manchester","0","",-2.237091,53.470173,"","",0,0,"Point","",""
"89","Oxford Rd/Grafton St","Signal","ST800","Gemini UTMC","NO",384810,396270,"UTC_FT","","",,"","","Manchester","0","",-2.230258,53.462969,"","",0,0,"Point","",""
"90","Oxford Rd/Sidney St","Signal","MTC","TC12","NO",384297,397179,"UTC_FT","","",,"","","Manchester","0","",-2.238033,53.471124,"","",1,0,"Point","",""
"91","Oxford St/Portland St/Chepstow St/Peter St","Signal","ST950 ELV","Gemini UTMC","NO",383998,397745,"FT UTC","","",,"","","Manchester","0","",-2.242557,53.476203,"","",0,0,"Point","",""
"92","Oxford St/Lower Mosley St/Mosley Sr/METROLINK","Signal","ST900","Gemini UTMC","NO",383925,397871,"UTC_FT","","",,"","","Manchester","0","",-2.24367,53.477333,"","",0,0,"Point","",""
"93","Oxford St/Whitworth St","Signal","ST800","Gemini UTMC","NO",384086,397578,"UTC_FT","","",,"","","Manchester","0","",-2.241229,53.474704,"","",0,0,"Point","",""
"94","Peter St/Mount St","Signal","ST950 ELVin","OTU Gemini UTMC","NO",383804,397922,"FT UTC","","",,"","","Manchester","0","",-2.245495,53.477787,"","",0,0,"Point","",""
"95","Oxford Rd /South of York Place","Toucan","ST950 ELV","Gemini UTMC","NO",384967,395912,"SCOOT","","",,"","","Manchester","0","",-2.227882,53.459757,"","",1,0,"Point","","TOUCAN"
"3/103","Barlow Moor Rd/Palatine Rd","Signal","ST800","Gemini MOVA GSM","NO",384002,391607,"MOVA","","",,"","","Manchester","0","",-2.24219,53.421031,"","",0,0,"Point","",""
"98","Mosley St/Parker St/Metrolink","Signal","ST900","Gemini UTMC","NO",384261,398290,"UTC_FT","","",,"","","Manchester","0","",-2.238633,53.48111,"","",0,0,"Point","",""
"3/179","Parrs Wood Rd/Mauldeth Rd/Egerton Rd","Signal","ST800","TC12","NO",385816,393191,"RMS","","",,"","","Manchester","0","",-2.214966,53.435322,"","",0,0,"Point","",""
"100","Parrs Wood Rd/Fog Ln","Signal","ST800","Gemini UTMC","NO",385568,391668,"UTC_FT","","",,"","","Manchester","0","",-2.218628,53.421625,"","",0,0,"Point","",""
"3/182","Parrs Wood Rd/School Ln/Queensway","Signal","ST900","TC12","NO",385432,391024,"RMS","","",,"","","Manchester","0","",-2.220645,53.415833,"","",0,0,"Point","","TOUCAN"
"102","Piccadilly/Lever St","Signal","ST950ELV in","Gemini UTMC","NO",384448,398300,"FT UTC","","",,"","","Manchester","0","",-2.235811,53.481204,"","",0,0,"Point","",""
"103","London Rd/Auburn St/Piccadilly/Ducie St","Signal","ST800","Gemini UTMC","NO",384645,398051,"UTC_FT","","",,"","","Manchester","0","",-2.23283,53.478972,"","",0,0,"Point","",""
"104","Piccadilly/Oldham St","Signal","ST700","TC12","NO",384376,398325,"UTC_FT","","",,"","","Manchester","0","",-2.236897,53.481427,"","",0,0,"Point","","PEDESTRIAN"
"105","Newton St/Piccadilly/Portland St","Signal","ST950 ELV"," UTMC","NO",384540,398250,"FT UTC","","",,"","","Manchester","0","",-2.234422,53.480758,"","",0,0,"Point","",""
"106","Portland St/Aytoun St/Parker St/METROLINK","Signal","ST950 ELV","Gemini UTMC","NO",384431,398182,"FT UTC","","",,"","","Manchester","0","",-2.236061,53.480143,"","",0,0,"Point","",""
"107","Portland St/Sackville St/Nicholas St","Signal","ST950ELV","OTU (internal) UTMC","NO",384232,397955,"FT UTC","","",,"","","Manchester","0","",-2.239048,53.478097,"","",0,0,"Point","",""
"109","Princess Rd/Moss Ln East","Signal","ST800","Gemini UTMC","NO",383832,395853,"SCOOT","CP","COMPLETED",20100125,"","","Manchester","0","",-2.244967,53.459191,"","",0,1,"Point","",""
"112","Barlow Moor Rd /slip rd to Princess Rd","Signal","ST800","Gemini UTMC","NO",383024,392123,"SCOOT","CP","COMPLETED",20100902,"","","Manchester","0","",-2.256929,53.425635,"","",0,1,"Point","",""
"113","Princess Rd/Barlow Moor Rd","Signal","ST800","Gemini UTMC","NO",383113,392075,"SCOOT","CP","COMPLETED",20100902,"","Awaiting cable/detector installation","Manchester","0","",-2.255592,53.42521,"","",0,1,"Point","",""
"114","Princess Rd/Wilbraham Rd","Signal","ST900","Gemini UTMC","NO",383879,394069,"SCOOT","CP","COMPLETED",20100330,"","Awaiting cable/detector installation","Manchester","0","",-2.244168,53.443157,"","",0,1,"Point","",""
"115","Princess Rd/Mauldeth Rd West","Signal","ST900","Gemini UTMC","NO",383887,393703,"SCOOT","CP","COMPLETED",20100330,"","Awaiting cable/detector installation","Manchester","0","",-2.244028,53.439868,"","",0,1,"Point","",""
"116","Princess St/Charles St","Signal","ST950 ELV i","Gemini UTMC","NO",384356,397519,"UTC_FT","CU","",,"Major Scheme Bid 2008/09","Ducting in","Manchester","0","",-2.237158,53.474182,"","",0,0,"Point","",""
"117","Princess St/Mosley St/METROLINK","Signal","ST900","Gemini UTMC","NO",384018,398021,"UTC_FT","","",,"","","Manchester","0","",-2.242276,53.478684,"","",0,0,"Point","",""
"118","Princess St/Portland St","Signal","ST950 ELV","Unspecified","NO",384158,397892,"FT UTC","","",,"","","Manchester","0","",-2.24016,53.477529,"","",0,0,"Point","",""
"119","Princess St/Whitworth St","Signal","950ELV in","Gemini UTMC","NO",384302,397682,"FT UTC","","",,"","","Manchester","0","",-2.23798,53.475646,"","",0,0,"Point","",""
"120","Rochdale Rd/Factory Ln/Moston Ln","Signal","ST800","Gemini UTMC","NO",385953,401929,"MOVA","","",,"","","Manchester","0","",-2.213297,53.513866,"","",0,0,"Point","",""
"121","Great Ancoats St/Pollard St","Signal","ST800","Gemini UTMC","NO",385331,398099,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","0","",-2.222496,53.479423,"","",0,1,"Point","",""
"122","Rochdale Rd/Thompson St/Ludgate Hill","Signal","ST800","Gemini UTMC","NO",384640,399038,"SCOOT","FT","COMPLETED",20080201,"","","Manchester","0","",-2.23296,53.48784,"","",0,1,"Point","",""
"123","Rochdale Rd/Swan St/Shude Hill/Miller St","Signal","ST900 ELV","Gemini UTMC","NO",384443,398865,"SCOOT","FT","COMPLETED",20071201,"","","Manchester","0","",-2.235914,53.486282,"","",0,1,"Point","",""
"124","Rochdale Rd/Queens Rd/Scropton St/Topley St","Signal","ST900 ELV","Gemini UTMC","NO",385590,400651,"SCOOT","CJ","COMPLETE",20150630,"","","Manchester","0","",-2.218707,53.502369,"","",0,1,"Point","",""
"3/168","Chorlton Rd/Stretford Rd","Signal","ST900","Gemini MOVA GSM","NO",382981,396574,"MOVA","","",,"","","Manchester","0","",-2.257823,53.465645,"","",0,0,"Point","",""
"131","Upper Brook St/Booth St West/Inchley rd","Signal","ST900 ELV","Gemini UTMC","NO",384684,396997,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting in","Manchester","0","",-2.232191,53.4695,"","",0,0,"Point","",""
"132","Upper Brook St/Brunswick St","Signal","ST950ELV in","Gemini UTMC","NO",384866,396725,"FT_UTC","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting in","Manchester","0","",-2.229436,53.46706,"","",0,0,"Point","",""
"133","Upper Brook St/Hathersage Rd","Signal","ST950ELV in","Gemini UTMC","NO",385478,395850,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","SCOOT loops cut","Manchester","0","",-2.220177,53.459213,"","",0,0,"Point","",""
"134","Upper Brook St/Plymouth Grove/Dryden St","Signal","ST950 ELV","OTU UTMC","NO",385035,396527,"UTC_FT","CU","ON-GOING",,"Major Scheme Bid 2008/09","Ducting in","Manchester","0","",-2.226881,53.465285,"","",0,0,"Point","",""
"135","Upper Lloyd St/Great Western St","Signal","ST800","Gemini UTMC","NO",384437,395521,"UTC_FT","C3","PLANNED",,"Major scheme bid 2009/10","","Manchester","0","",-2.235839,53.456223,"","",0,0,"Point","",""
"137","Elizabeth St/Waterloo Rd /Malborough Rd","Signal","ST800","Gemini UTMC","NO",383827,400562,"UTC_FT","","",,"","","Manchester","0","",-2.245285,53.501517,"","",0,0,"Point","",""
"138","Wilbraham Rd/Withington Rd","Signal","ST800","Gemini UTMC","NO",383023,394099,"UTC_FT","","",,"","","Manchester","0","",-2.257056,53.4434,"","",0,0,"Point","",""
"139","Wilbraham Rd/Alexandra Rd South","Signal","ST800","Gemini UTMC","NO",383382,394095,"UTC_FT","","",,"","","Manchester","0","",-2.251651,53.443376,"","",0,0,"Point","",""
"140","Wilmslow Rd/Barlow Moor Rd/School Ln","Signal","ST800","Gemini UTMC","NO",384700,391231,"SCOOT","CD","COMPLETED",20110309,"Summer 2008","Awaiting Modem reconfig","Manchester","0","",-2.231668,53.417672,"","",0,1,"Point","",""
"3/155","Wilmslow Rd/Fog Ln /Lapwing Ln","Signal","ST950ELV in","Gemini MOVA GSM","NO",384648,391770,"MOVA","","",,"","","Manchester","0","",-2.232477,53.422515,"","",0,0,"Point","",""
"142","Wilmslow Rd/Dickenson Rd/Platt Ln","Signal","ST800","Gemini UTMC","YES",385339,395008,"UTC_FT","","",,"","","Manchester","0","",-2.222234,53.451637,"","",0,0,"Point","",""
"143","Wilmslow Rd/Parrs Wood Rd","Signal","ST800","Gemini UTMC","NO",385287,390426,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.222799,53.410454,"","",0,1,"Point","",""
"144","Aytoun St/Auburn St/METROLINK","Signal","ST900 ELV","Gemini UTMC","NO",384572,398001,"UTC_FT","","",,"","","Manchester","0","",-2.233928,53.478521,"","",0,0,"Point","",""
"3/183","Wilmslow Rd/Mauldeth Rd West","Signal","ST950 ELVin","Gemini 2","NO",385157,393290,"MOVA GSM","","",,"","","Manchester","0","",-2.22489,53.436193,"","",0,0,"Point","",""
"148","Wilmslow Rd/Moseley Rd","Signal","ST950 ELV i","Gemini UTMC","NO",385585,394003,"UTC_FT","","",,"","","Manchester","0","",-2.218481,53.442614,"","",0,0,"Point","",""
"149","Portland St/York St","Signal","ST800","Gemini UTMC","NO",384340,398080,"FT UTC","","",,"","","Manchester","0","",-2.237427,53.479224,"","",0,0,"Point","",""
"150","Whitworth St/Chorlton St/Aytoun St","Signal","ST800","Gemini UTMC","NO",384535,397798,"UTC_FT","","",,"","","Manchester","0","",-2.234475,53.476695,"","",0,0,"Point","",""
"151","London Rd/Whitworth St North Bound/Tram Undercroft/METROLINK","Signal","ST800","Gemini UTMC","NO",384706,397864,"UTC_FT","","",,"","","Manchester","0","",-2.231902,53.477293,"","",0,0,"Point","",""
"153","Fairfield St/Cobourg St","Signal","ST800","Gemini UTMC","YES",384590,397790,"UTC_FT","","",,"","","Manchester","0","",-2.233646,53.476625,"","",0,0,"Point","","TOUCAN"
"155","Wilmslow Rd /North of Mabfield Rd","Toucan","ST700","TC12","NO",385607,394241,"UTC_FT","","",,"","","Manchester","0","",-2.21816,53.444754,"","",1,0,"Point","","TOUCAN"
"156","Wilmslow Rd/Moss Ln East","Signal","ST800","Gemini UTMC","YES",385035,395700,"UTC_FT","","",,"","","Manchester","0","",-2.226842,53.457852,"","",0,0,"Point","",""
"3/180","Mauldeth Rd /North of Rink St","Pelican","ST750","Unspecified","NO",385917,393166,"RMS","","",,"","","Manchester","0","",-2.213444,53.4351,"","",1,0,"Point","","PEDESTRIAN"
"158","Cheetham Hill Rd /North of Huxley Ave","Puffin","ST700","Gemini UTMC","NO",384455,400675,"SCOOT","CF","COMPLETED",20091215,"","COMPLETE","Manchester","0","",-2.235823,53.502552,"","",1,1,"Point","","PEDESTRIAN"
"3/167","Broadway/Nuthurst Rd","Signal","ST800","Gemini MOVA GSM","NO",388893,402251,"MOVA","","",,"","","Manchester","0","",-2.168974,53.516831,"","",0,0,"Point","",""
"160","Kingsway /South of Fairmile Dr","Double Puffin","ST800","TC12","NO",385236,389705,"SCOOT","CA","COMPLETE",20160726,"","","Manchester","0","",-2.223532,53.403972,"","",1,1,"Point","","PEDESTRIAN"
"161","Mancunian Way/Fairfield St","Signal","ST800","Gemini UTMC","NO",385512,397651,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","0","",-2.219748,53.475402,"","",1,1,"Point","",""
"163","Kingsway/Moseley Rd Roundabout /Part Time Signals","Signal","ST800","TC12","NO",386560,393947,"UTC_FT","","",,"","","Manchester","0","",-2.203799,53.442137,"","",0,0,"Point","",""
"3/175","Palatine Rd/Lapwing Ln","Signal","ST900","Gemini PSTN","NO",384378,392086,"UTC_FT","","",,"","","Manchester","0","",-2.236556,53.425348,"","",1,0,"Point","",""
