"FRAS_ref","Description","Type","Controller","OTU_OMU","BUS_GATE","Easting","Northing","Type_Of_Control","SCOOT_REGION","SCOOT_STATUS","SCOOT_COMMISSION_DATE","SCOOT_ANTICIP_DATE","SCOOT_PROGRESS","Authority","HWAYS_AGENCY_AREA","HA_AGENCY_MAINTAINED","Longitude","Latitude","Final_Longitude","Final_Latitude","_COL7","NIS_node","_Object","COMMENTS","Crossing_Facility"
"7/017","Reddish Rd /South of Birkdale Rd","Puffin","ST700","Gemini GSM","NO",389832,392136,"RMS","","",,"","","Stockport","","",-2.154487,53.425932,"","",0,0,"","","PEDESTRIAN"
"9/062","Barton Rd /East of Rowsley Rd","Puffin","ST700","Gemini GSM","NO",378404,395349,"RMS","","",,"","","Trafford","","",-2.326684,53.454465,"","",0,0,"","","PEDESTRIAN"
"9/066","Langham Rd /West of Vale Rd","Puffin","ST700","Gemini GSM","NO",375938,386610,"RMS","","",,"","","Trafford","","",-2.363149,53.375806,"","",0,0,"","","PEDESTRIAN"
"6/001","Monton Rd /West of Stafford Rd","Puffin","ST700","Gemini GSM","NO",377138,399117,"RMS","","",,"","","Salford","","",-2.346019,53.488279,"","",0,0,"","","PEDESTRIAN"
"1606","Edinburgh Way /South of Manchester Rd","Double Puffin","ST750LV","Gemini UTMC","NO",388694,411806,"UTC_FT","ES","ON-GOING",,"Autumn 2008","Under construction","Rochdale","","",-2.172324,53.602708,"","",0,0,"","","PEDESTRIAN"
"1412","Wilmslow Rd /North of Furness Rd","Puffin","ST700","Unspecified","NO",385585,394134,"UTC_FT","","",,"","","Manchester","","",-2.21848,53.443791,"","",0,0,"","","PEDESTRIAN"
"4/092","Oldham Rd/Sisson St/Ash St","Signal","ST800","Gemini MOVA GSM","NO",389474,401465,"MOVA","","",,"","","Oldham","","",-2.160184,53.509774,"","",0,0,"","",""
"1510","Eastway /South of Newtown St","Puffin","ST700","Gemini UTMC","NO",393924,408862,"UTC_FT","","",,"","","Oldham","","",-2.093232,53.576335,"","",0,0,"","","PEDESTRIAN"
"1509","Crompton Way/High St","Signal","ST800","Gemini UTMC","NO",393673,408700,"UTC_FT","DS","ON-GOING",,"Spring 2008","Awaiting UTMC comms","Oldham","","",-2.09702,53.574875,"","",0,0,"","1510 to be connected but not on SCOOT",""
"5/029","Kingsway/Moss Bridge Rd","Signal","ST800","Gemini MOVA GSM","NO",391093,412289,"MOVA","","",,"","","Rochdale","","",-2.136083,53.607094,"","",0,0,"","","TOUCAN"
"5/036","Sir Isaac Newton Way/North of John Milne Ave","Pegasus","ST800","Gemini GSM","NO",391807,411806,"RMS","","",,"","","Rochdale","","",-2.125281,53.602768,"","",0,0,"","","PEDESTRIAN"
"940","Manchester Rd North/Seymour St","Signal","ST800","TC12","NO",391926,395537,"SCOOT","HB","COMPLETED",20060401,"","","Tameside","","",-2.123065,53.456536,"","",0,1,"","",""
"493","M67 Jct 1/Ashton Rd /AREA10","Signal (Trunk)","ST800","Gemini UTMC","NO",392466,395718,"SCOOT","HD","COMPLETED",20060401,"","","Tameside","10","Yes",-2.114925,53.45817,"","",0,1,"","",""
"947","Moss Way/Slate Ln","Signal","ST800","Gemini UTMC","NO",392138,397841,"SCOOT","HM","COMPLETED",,"","","Tameside","1","",-2.11993,53.47725,"","",0,0,"","",""
"7/177","Bramhall Ln South/Midland Rd/Grange Rd","Signal","ST800","Gemini MOVA GSM","NO",389679,387184,"MOVA","","",,"","","Stockport","","",-2.156622,53.381418,"","",0,0,"","",""
"364","Droylsden Rd/Lumb Ln/Metrolink","Signal","ST900 ELV","Gemini UTMC","NO",391328,397977,"SCOOT","HL","COMPLETED",20081114,"","COMPLETE","Tameside","0","",-2.132133,53.47846,"","",1,1,"Point","","PEDESTRIAN"
"241","Manchester Rd/Grovesnor St","Signal","ST800","Unspecified","NO",372087,408609,"SCOOT","AB","COMPLETED",,"Summer 2008","Awaiting modem reconfig.","Bolton","","",-2.422995,53.573346,"","",0,0,"","",""
"836","Broadstone Rd /South of Lynmouth Ave","Puffin","ST700","Unspecified","NO",389321,393277,"UTC_FT","GR","ON-GOING",,"Summer 2008","Cable/detector installation","Stockport","","",-2.162208,53.436181,"","",0,0,"","","PEDESTRIAN"
"1/133","Hall Ln /South of Fogg Ln","Pegasus","ST800","Gemini GSM","NO",374073,406966,"RMS","","",,"","","Bolton","","",-2.392869,53.558687,"","",0,0,"","","PEDESTRIAN"
"374","Rochdale Rd/York St/Lord St","Signal","ST800","","NO",381088,410762,"UTC_FT","BB","ON-GOING",,"Autumn 2008","Awaiting data transmission & SCOOT model","Bury","","",-2.287199,53.593107,"","",0,0,"","",""
"3/158","Old Market St/Lion St","Signal","ST800","Gemini MOVA GSM","NO",385547,402958,"MOVA","","",,"","","Manchester","","",-2.219461,53.5231,"","",0,0,"","",""
"1605","Manchester Rd/Kemp Ave/New Barn Ln","Signal","ST800","Gemini UTMC","NO",388986,412098,"UTC_FT","ES","ON-GOING",,"Autumn 2008","Under construction","Rochdale","","",-2.167923,53.605337,"","",0,0,"","","TOUCAN"
